Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Medium,Sudden Drift,Large,Important,Training/Test,33.769013616750854,2.8,False
Linear regression,Medium,Sudden Drift,Large,Important,Test,234.78066312799345,9.22,False
Linear regression,Medium,Sudden Drift,Large,Medium,Training,84.53860749216106,5.61,True
Linear regression,Medium,Sudden Drift,Large,Medium,Training/Test,122.85627420183212,7.1,True
Linear regression,Medium,Sudden Drift,Large,Medium,Test,185.0520589218617,9.23,True
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training,26.331577443428948,2.99,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training/Test,26.406586809677773,3.11,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Test,89.30610064896702,5.65,False
Linear regression,Medium,Incremental Drift,Small,Important,Training,27.99998229791254,3.03,False
Linear regression,Medium,Incremental Drift,Small,Important,Training/Test,32.93432000356853,3.25,False
Linear regression,Medium,Incremental Drift,Small,Important,Test,28.484480099622424,3.03,False
Linear regression,Medium,Incremental Drift,Small,Medium,Training,28.049602899961624,3.19,True
Linear regression,Medium,Incremental Drift,Small,Medium,Training/Test,32.996306873629564,3.39,True
Linear regression,Medium,Incremental Drift,Small,Medium,Test,33.72873625799932,3.38,True
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training,27.47190224526157,3.12,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training/Test,23.074619474011502,2.9,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Test,24.13252931314987,3.01,False
Linear regression,Medium,Incremental Drift,Large,Important,Training,32.583906283497925,2.78,False
Linear regression,Medium,Incremental Drift,Large,Important,Training/Test,34.66219299862229,2.84,False
Linear regression,Medium,Incremental Drift,Large,Important,Test,93.83819546297184,5.13,False
Linear regression,Medium,Incremental Drift,Large,Medium,Training,78.85577051811542,5.36,True
Linear regression,Medium,Incremental Drift,Large,Medium,Training/Test,157.68764529260164,8.34,True
Linear regression,Medium,Incremental Drift,Large,Medium,Test,152.3854382649133,7.83,True
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training,26.799951468664464,3.0,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training/Test,25.74078647509413,3.06,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Test,72.18176875543406,4.92,False
Linear regression,Medium,No Drift,No Drift,No Drift,No Drift,24.02766132995564,2.96,False
Linear regression,Medium,Sudden Shock,Small,Important,3 days,24.25903107822521,2.98,False
