Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,Switched,MSE,SMAPE,Dropped drifting
Ensemble,Medium,Sudden Drift,Small,Important,Test,True,56.97608910359468,3.8,False
Ensemble,Medium,Sudden Drift,Small,Medium,Training,False,25.063480122946316,2.77,True
Ensemble,Medium,Sudden Drift,Small,Medium,Training/Test,False,21.131165236444467,2.51,True
Ensemble,Medium,Sudden Drift,Small,Medium,Test,False,21.904578484078687,2.47,True
Ensemble,Medium,Sudden Drift,Small,Unimportant,Training,False,20.302325139854773,2.5,False
Ensemble,Medium,Sudden Drift,Small,Unimportant,Training/Test,False,26.27525179263723,2.92,False
Ensemble,Medium,Sudden Drift,Small,Unimportant,Test,False,23.922892763512785,2.7,False
Ensemble,Medium,Sudden Drift,Large,Important,Training,False,353.88044631316944,8.63,False
Ensemble,Medium,Sudden Drift,Large,Important,Training/Test,False,95.11630845554792,4.17,False
Ensemble,Medium,Sudden Drift,Large,Important,Test,True,325.3801069434321,6.76,False
Ensemble,Medium,Sudden Drift,Large,Medium,Training,False,38.71884157569631,3.41,True
Ensemble,Medium,Sudden Drift,Large,Medium,Training/Test,False,38.84289167720571,3.28,True
Ensemble,Medium,Sudden Drift,Large,Medium,Test,True,64.48080790268678,4.08,True
Ensemble,Medium,Sudden Drift,Large,Unimportant,Training,False,21.77654576423438,2.57,False
Ensemble,Medium,Sudden Drift,Large,Unimportant,Training/Test,False,23.985134300541656,2.73,False
Ensemble,Medium,Sudden Drift,Large,Unimportant,Test,False,23.388352698915966,2.61,False
Ensemble,Medium,Incremental Drift,Small,Important,Training,False,49.31317109236371,3.82,False
Ensemble,Medium,Incremental Drift,Small,Important,Training/Test,True,50.69394051924084,3.73,False
Ensemble,Medium,Incremental Drift,Small,Important,Test,True,46.32860544724063,3.55,False
Ensemble,Medium,Incremental Drift,Small,Medium,Training,False,22.229317836596618,2.54,True
Ensemble,Medium,Incremental Drift,Small,Medium,Training/Test,False,20.912055632908064,2.45,True
Ensemble,Medium,Incremental Drift,Small,Medium,Test,False,21.923115497157276,2.49,True
Ensemble,Medium,Incremental Drift,Small,Unimportant,Training,False,19.94553286680598,2.42,False
Ensemble,Medium,Incremental Drift,Small,Unimportant,Training/Test,False,25.644452721394053,2.81,False
Ensemble,Medium,Incremental Drift,Small,Unimportant,Test,False,23.979856671970083,2.71,False
Ensemble,Medium,Incremental Drift,Large,Important,Training,False,398.3996501772223,9.17,False
Ensemble,Medium,Incremental Drift,Large,Important,Training/Test,True,412.58547900525343,8.67,False
Ensemble,Medium,Incremental Drift,Large,Important,Test,True,71.29044892462909,3.7,False
Ensemble,Medium,Incremental Drift,Large,Medium,Training,False,43.04946593492198,3.59,True
Ensemble,Medium,Incremental Drift,Large,Medium,Training/Test,True,63.18021980467823,4.17,True
Ensemble,Medium,Incremental Drift,Large,Medium,Test,False,64.91484447465808,4.15,True
Ensemble,Medium,Incremental Drift,Large,Unimportant,Training,False,21.11681328278685,2.51,False
Ensemble,Medium,Incremental Drift,Large,Unimportant,Training/Test,False,22.35777186355149,2.61,False
Ensemble,Medium,Incremental Drift,Large,Unimportant,Test,False,23.98002058906016,2.67,False
Ensemble,Medium,No Drift,No Drift,No Drift,No Drift,False,20.191543645902303,2.49,False
Ensemble,Medium,Sudden Shock,Small,Important,3 days,False,22.398213175333726,2.64,False
