Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression online,Medium,Sudden Drift,Small,Medium,Training/Test,33.64565882506051,3.27,True
Linear regression online,Medium,Sudden Drift,Small,Medium,Test,34.38334594555522,3.3,True
Linear regression online,Medium,Sudden Drift,Small,Unimportant,Training,33.126973263959684,3.31,False
Linear regression online,Medium,Sudden Drift,Small,Unimportant,Training/Test,33.32399556178166,3.31,False
Linear regression online,Medium,Sudden Drift,Small,Unimportant,Test,33.7808245567544,3.32,False
Linear regression online,Medium,Sudden Drift,Large,Important,Training,43.5590375573556,2.92,False
Linear regression online,Medium,Sudden Drift,Large,Important,Training/Test,43.80744579210638,2.93,False
Linear regression online,Medium,Sudden Drift,Large,Important,Test,116.80706995419844,4.42,False
Linear regression online,Medium,Sudden Drift,Large,Medium,Training,56.33654294186376,4.01,True
Linear regression online,Medium,Sudden Drift,Large,Medium,Training/Test,59.67896480197313,4.2,True
Linear regression online,Medium,Sudden Drift,Large,Medium,Test,89.87570022522759,5.19,True
Linear regression online,Medium,Sudden Drift,Large,Unimportant,Training,33.70096388949707,3.28,False
Linear regression online,Medium,Sudden Drift,Large,Unimportant,Training/Test,33.616150917428804,3.26,False
Linear regression online,Medium,Sudden Drift,Large,Unimportant,Test,54.21138768425959,4.26,False
Linear regression online,Medium,Incremental Drift,Small,Important,Training,35.13932068875511,3.18,False
Linear regression online,Medium,Incremental Drift,Small,Important,Training/Test,41.52874309811429,3.48,False
Linear regression online,Medium,Incremental Drift,Small,Important,Test,47.57548015686592,3.8,False
Linear regression online,Medium,Incremental Drift,Small,Medium,Training,35.149564126648826,3.36,True
Linear regression online,Medium,Incremental Drift,Small,Medium,Training/Test,34.54743712542952,3.32,True
Linear regression online,Medium,Incremental Drift,Small,Medium,Test,36.50399230508131,3.44,True
Linear regression online,Medium,Incremental Drift,Small,Unimportant,Training,32.98290860332277,3.3,False
Linear regression online,Medium,Incremental Drift,Small,Unimportant,Training/Test,33.75878822693922,3.33,False
Linear regression online,Medium,Incremental Drift,Small,Unimportant,Test,34.26770881850865,3.37,False
Linear regression online,Medium,Incremental Drift,Large,Important,Training,43.655385891693385,2.93,False
Linear regression online,Medium,Incremental Drift,Large,Important,Training/Test,45.92718831225045,3.02,False
Linear regression online,Medium,Incremental Drift,Large,Important,Test,89.75344544113915,4.54,False
Linear regression online,Medium,Incremental Drift,Large,Medium,Training,53.21140377733682,3.88,True
Linear regression online,Medium,Incremental Drift,Large,Medium,Training/Test,76.56888673036151,4.8,True
Linear regression online,Medium,Incremental Drift,Large,Medium,Test,75.09863522168688,4.58,True
Linear regression online,Medium,Incremental Drift,Large,Unimportant,Training,33.43529211777817,3.25,False
Linear regression online,Medium,Incremental Drift,Large,Unimportant,Training/Test,41.5569741222112,3.61,False
Linear regression online,Medium,Incremental Drift,Large,Unimportant,Test,50.80071512151001,4.04,False
Linear regression online,Medium,No Drift,No Drift,No Drift,No Drift,32.8729851074024,3.33,False
Linear regression online,Medium,Sudden Shock,Small,Important,3 days,34.32706989207189,3.4,False
Linear regression online,Medium,Sudden Shock,Large,Important,3 days,33.02984814520008,3.33,False
Linear regression online,Medium,Sudden Shock,Small,Important,7 days,33.12397310718947,3.33,False
Linear regression online,Medium,Sudden Shock,Large,Important,7 days,33.16629267404301,3.32,False
Linear regression online,Unimportant,Sudden Drift,Small,Important,Training,34.45228583831084,3.15,False
Linear regression online,Unimportant,Sudden Drift,Small,Important,Training/Test,34.88383191869134,3.16,False
Linear regression online,Unimportant,Sudden Drift,Small,Important,Test,49.4939985061097,3.79,False
Linear regression online,Unimportant,Sudden Drift,Small,Medium,Training,34.20182614380305,3.3,False
Linear regression online,Unimportant,Sudden Drift,Small,Medium,Training/Test,33.16512128146765,3.23,False
Linear regression online,Unimportant,Sudden Drift,Small,Medium,Test,35.825545742383795,3.37,False
Linear regression online,Unimportant,Sudden Drift,Small,Unimportant,Training,33.35602050623461,3.33,True
Linear regression online,Unimportant,Sudden Drift,Small,Unimportant,Training/Test,33.10446208184309,3.3,True
Linear regression online,Unimportant,Sudden Drift,Small,Unimportant,Test,32.63265196936673,3.27,True
Linear regression online,Unimportant,Sudden Drift,Large,Important,Training,43.698547388413566,2.93,False
Linear regression online,Unimportant,Sudden Drift,Large,Important,Training/Test,43.301956674841634,2.92,False
Linear regression online,Unimportant,Sudden Drift,Large,Important,Test,99.41113930198182,4.17,False
Linear regression online,Unimportant,Sudden Drift,Large,Medium,Training,36.74867435678188,3.16,False
Linear regression online,Unimportant,Sudden Drift,Large,Medium,Training/Test,38.51878760622231,3.25,False
Linear regression online,Unimportant,Sudden Drift,Large,Medium,Test,58.38859617960674,4.05,False
Linear regression online,Unimportant,Sudden Drift,Large,Unimportant,Training,35.37514608902978,3.39,True
Linear regression online,Unimportant,Sudden Drift,Large,Unimportant,Training/Test,33.429903017669865,3.26,True
Linear regression online,Unimportant,Sudden Drift,Large,Unimportant,Test,34.80178898767972,3.35,True
Linear regression online,Unimportant,Incremental Drift,Small,Important,Training,35.04974046060308,3.18,False
Linear regression online,Unimportant,Incremental Drift,Small,Important,Training/Test,43.80076209108679,3.59,False
Linear regression online,Unimportant,Incremental Drift,Small,Important,Test,45.14924447139765,3.7,False
Linear regression online,Unimportant,Incremental Drift,Small,Medium,Training,33.82160649476453,3.28,False
Linear regression online,Unimportant,Incremental Drift,Small,Medium,Training/Test,34.63299011613209,3.32,False
Linear regression online,Unimportant,Incremental Drift,Small,Medium,Test,36.46215774712975,3.45,False
Linear regression online,Unimportant,Incremental Drift,Small,Unimportant,Training,33.47313735417305,3.33,True
Linear regression online,Unimportant,Incremental Drift,Small,Unimportant,Training/Test,32.82881787076044,3.29,True
Linear regression online,Unimportant,Incremental Drift,Small,Unimportant,Test,33.22591437052317,3.32,True
Linear regression online,Unimportant,Incremental Drift,Large,Important,Training,43.21789158592871,2.92,False
Linear regression online,Unimportant,Incremental Drift,Large,Important,Training/Test,45.444177843877576,3.01,False
